"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"38","38","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Artigas","NA","-30.09905","-56.92273","InvForestal","14/01/2016","2016","Enero","14","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.38"
"39","39","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-33.99636","-56.9243","InvForestal","12/07/2016","2016","Julio","12","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.39"
"40","40","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Río Negro","NA","-32.86583","-56.90332","InvForestal","15/07/2016","2016","Julio","15","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.40"
"41","41","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.60928","-56.90299","InvForestal","22/03/2015","2015","Marzo","22","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.41"
"42","42","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.456383","-56.8413","InvForestal","17/12/2014","2014","Diciembre","17","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.42"
"43","43","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Flores","NA","-33.3112","-56.82164","InvForestal","04/02/2016","2016","Febrero","4","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.43"
"44","44","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Flores","NA","-33.48237","-56.82147","InvForestal","04/02/2016","2016","Febrero","4","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.44"
"45","45","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.13149","-56.78069","InvForestal","17/03/2015","2015","Marzo","17","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.45"
"46","46","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.16584","-56.76064","InvForestal","17/03/2015","2015","Marzo","17","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.46"
"47","47","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.20001","-56.76067","InvForestal","17/03/2015","2015","Marzo","17","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.47"
"48","48","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.2855","-56.74034","InvForestal","20/12/2014","2014","Diciembre","20","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.48"
"49","49","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Río Negro","NA","-32.64518","-56.72044","InvForestal","08/08/2016","2016","Agosto","8","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.49"
"50","50","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.3196","-56.69984","InvForestal","20/03/2015","2015","Marzo","20","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.50"
"51","51","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.1492","-56.67967","InvForestal","14/03/2015","2015","Marzo","14","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.51"
"52","52","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.26837","-56.67958","InvForestal","18/03/2015","2015","Marzo","18","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.52"
